Version,Platform,Released,VirusTotal
[`7.12.1` {octicon}`link-external`](https://github.com/kdeldycke/repomatic/releases/tag/v7.12.1),[{octicon}`download` `linux-arm64`](https://github.com/kdeldycke/repomatic/releases/download/v7.12.1/repomatic-7.12.1-linux-arm64.bin),2026-08-15,[{octicon}`shield-check;1em;sd-text-success`](https://www.virustotal.com/gui/file/41918fc5f5d6a862840bcacf50a58fd623869e980227bf4e8c3305c11be1a5ef)
[`7.12.1` {octicon}`link-external`](https://github.com/kdeldycke/repomatic/releases/tag/v7.12.1),[{octicon}`download` `linux-x64`](https://github.com/kdeldycke/repomatic/releases/download/v7.12.1/repomatic-7.12.1-linux-x64.bin),2026-08-15,[{octicon}`shield-check;1em;sd-text-success`](https://www.virustotal.com/gui/file/aca0f9e6d27d55e0b1391e5e1e3283f0eda4b0e197f4d8560862911085f7dae8)
[`7.12.1` {octicon}`link-external`](https://github.com/kdeldycke/repomatic/releases/tag/v7.12.1),[{octicon}`download` `macos-arm64`](https://github.com/kdeldycke/repomatic/releases/download/v7.12.1/repomatic-7.12.1-macos-arm64.bin),2026-08-15,[{octicon}`shield;1em;sd-text-warning` 1.7%](https://www.virustotal.com/gui/file/980c4e0bf9287e4e3adde6be3eca1882e7f6fa56ac95820e64ec789c4133b60b)
[`7.12.1` {octicon}`link-external`](https://github.com/kdeldycke/repomatic/releases/tag/v7.12.1),[{octicon}`download` `macos-x64`](https://github.com/kdeldycke/repomatic/releases/download/v7.12.1/repomatic-7.12.1-macos-x64.bin),2026-08-15,[{octicon}`shield-check;1em;sd-text-success`](https://www.virustotal.com/gui/file/36cb8418ec6c6d4505b01126e841e9125062d205415ecc34417c4349d0b17796)
[`7.12.1` {octicon}`link-external`](https://github.com/kdeldycke/repomatic/releases/tag/v7.12.1),[{octicon}`download` `windows-arm64`](https://github.com/kdeldycke/repomatic/releases/download/v7.12.1/repomatic-7.12.1-windows-arm64.exe),2026-08-15,[{octicon}`shield;1em;sd-text-warning` 2.9%](https://www.virustotal.com/gui/file/94f68b927a4733b8bce527334bbd83d455d8bebe3851fe85a4377ac88f49aa35)
[`7.12.1` {octicon}`link-external`](https://github.com/kdeldycke/repomatic/releases/tag/v7.12.1),[{octicon}`download` `windows-x64`](https://github.com/kdeldycke/repomatic/releases/download/v7.12.1/repomatic-7.12.1-windows-x64.exe),2026-08-15,[{octicon}`shield;1em;sd-text-danger` 21.4%](https://www.virustotal.com/gui/file/7031b56e8c33df1ab16abed630f8a1c0c70b45f235a093758ab3d8086d4e9264)
[`7.12.0` {octicon}`link-external`](https://github.com/kdeldycke/repomatic/releases/tag/v7.12.0),[{octicon}`download` `linux-arm64`](https://github.com/kdeldycke/repomatic/releases/download/v7.12.0/repomatic-7.12.0-linux-arm64.bin),2026-08-14,[{octicon}`shield;1em;sd-text-warning` 1.9%](https://www.virustotal.com/gui/file/966dadf69e08ea890b3ce8df88d1ccc8e63559747e0d0884e341269d785f3024)
[`7.12.0` {octicon}`link-external`](https://github.com/kdeldycke/repomatic/releases/tag/v7.12.0),[{octicon}`download` `linux-x64`](https://github.com/kdeldycke/repomatic/releases/download/v7.12.0/repomatic-7.12.0-linux-x64.bin),2026-08-14,[{octicon}`shield;1em;sd-text-warning` 1.6%](https://www.virustotal.com/gui/file/6407a72ea1c12eb60f6a71804b614d3cfb7b8e59ab56cea24c1459d0f0c9bcf7)
[`7.12.0` {octicon}`link-external`](https://github.com/kdeldycke/repomatic/releases/tag/v7.12.0),[{octicon}`download` `macos-arm64`](https://github.com/kdeldycke/repomatic/releases/download/v7.12.0/repomatic-7.12.0-macos-arm64.bin),2026-08-14,[{octicon}`shield-check;1em;sd-text-success`](https://www.virustotal.com/gui/file/4afba33641af1261f95ffd6ce3c463bd450ec0b993215c561bd06f7de0ae9746)
[`7.12.0` {octicon}`link-external`](https://github.com/kdeldycke/repomatic/releases/tag/v7.12.0),[{octicon}`download` `macos-x64`](https://github.com/kdeldycke/repomatic/releases/download/v7.12.0/repomatic-7.12.0-macos-x64.bin),2026-08-14,[{octicon}`shield-check;1em;sd-text-success`](https://www.virustotal.com/gui/file/55329fc479ee2e08f7612093e22d325914bfb944c47bf4f2e2aea33d82d71fe9)
[`7.12.0` {octicon}`link-external`](https://github.com/kdeldycke/repomatic/releases/tag/v7.12.0),[{octicon}`download` `windows-arm64`](https://github.com/kdeldycke/repomatic/releases/download/v7.12.0/repomatic-7.12.0-windows-arm64.exe),2026-08-14,[{octicon}`shield;1em;sd-text-warning` 2.9%](https://www.virustotal.com/gui/file/299ccc227460634d016b9e52c24980d3eca4f58a77e8bdb4208d8c193a046981)
[`7.12.0` {octicon}`link-external`](https://github.com/kdeldycke/repomatic/releases/tag/v7.12.0),[{octicon}`download` `windows-x64`](https://github.com/kdeldycke/repomatic/releases/download/v7.12.0/repomatic-7.12.0-windows-x64.exe),2026-08-14,[{octicon}`shield;1em;sd-text-danger` 21.4%](https://www.virustotal.com/gui/file/7db28a017ff93caaad8e58bfd77220ca2ad7f15ae395de87eed70108f66346d1)
[`7.11.0` {octicon}`link-external`](https://github.com/kdeldycke/repomatic/releases/tag/v7.11.0),[{octicon}`download` `linux-arm64`](https://github.com/kdeldycke/repomatic/releases/download/v7.11.0/repomatic-7.11.0-linux-arm64.bin),2026-08-13,[{octicon}`shield-check;1em;sd-text-success`](https://www.virustotal.com/gui/file/86b8e114c3a017ae8a0d623a73dace467e0fdab9d7eb23a2f6ed123493b65155)
[`7.11.0` {octicon}`link-external`](https://github.com/kdeldycke/repomatic/releases/tag/v7.11.0),[{octicon}`download` `linux-x64`](https://github.com/kdeldycke/repomatic/releases/download/v7.11.0/repomatic-7.11.0-linux-x64.bin),2026-08-13,[{octicon}`shield;1em;sd-text-warning` 1.6%](https://www.virustotal.com/gui/file/329b2e6794a3d7dbb6d512c86659ce1515b4f3d6aeaacf2fac8a1b1a9fb3687a)
[`7.11.0` {octicon}`link-external`](https://github.com/kdeldycke/repomatic/releases/tag/v7.11.0),[{octicon}`download` `macos-arm64`](https://github.com/kdeldycke/repomatic/releases/download/v7.11.0/repomatic-7.11.0-macos-arm64.bin),2026-08-13,[{octicon}`shield;1em;sd-text-warning` 1.6%](https://www.virustotal.com/gui/file/b5c054312b4500edc27888f9bc47b51e984c8d0bc3ab2487b4e1b3977b52ea48)
[`7.11.0` {octicon}`link-external`](https://github.com/kdeldycke/repomatic/releases/tag/v7.11.0),[{octicon}`download` `macos-x64`](https://github.com/kdeldycke/repomatic/releases/download/v7.11.0/repomatic-7.11.0-macos-x64.bin),2026-08-13,[{octicon}`shield;1em;sd-text-warning` 1.6%](https://www.virustotal.com/gui/file/f3f37d5450653625337db0fc4aad35a1072e40cf2a9f8f63f5ade1723868344f)
[`7.11.0` {octicon}`link-external`](https://github.com/kdeldycke/repomatic/releases/tag/v7.11.0),[{octicon}`download` `windows-arm64`](https://github.com/kdeldycke/repomatic/releases/download/v7.11.0/repomatic-7.11.0-windows-arm64.exe),2026-08-13,[{octicon}`shield;1em;sd-text-warning` 4.4%](https://www.virustotal.com/gui/file/6f8f8fb25fde920298081d9f0d06eab6176ce40141b85d172a73579dbf2b293a)
[`7.11.0` {octicon}`link-external`](https://github.com/kdeldycke/repomatic/releases/tag/v7.11.0),[{octicon}`download` `windows-x64`](https://github.com/kdeldycke/repomatic/releases/download/v7.11.0/repomatic-7.11.0-windows-x64.exe),2026-08-13,[{octicon}`shield;1em;sd-text-danger` 23.2%](https://www.virustotal.com/gui/file/1e7740f01b879ccbdaf5073357cb7b3e3076515d429d69edfb9b3ce92089b324)
[`7.10.0` {octicon}`link-external`](https://github.com/kdeldycke/repomatic/releases/tag/v7.10.0),[{octicon}`download` `linux-arm64`](https://github.com/kdeldycke/repomatic/releases/download/v7.10.0/repomatic-7.10.0-linux-arm64.bin),2026-08-12,[{octicon}`shield;1em;sd-text-warning` 1.6%](https://www.virustotal.com/gui/file/06982107113460e5fc68533f60301ed91ad08044236ba5ce28a4a09e97853ba1)
