repo,metric,date,value,source
https://github.com/asottile/all-repos,commit,2026-08-16,2026-07-15,sample
https://github.com/asottile/all-repos,release,2026-08-16,2026-05-12,sample
https://github.com/asottile/all-repos,release_source,2026-08-16,tag,sample
https://github.com/asottile/all-repos,stars,2017-08-03,0,created
https://github.com/asottile/all-repos,stars,2018-06-27,39,wayback
https://github.com/asottile/all-repos,stars,2019-09-27,74,wayback
https://github.com/asottile/all-repos,stars,2020-09-13,152,wayback
https://github.com/asottile/all-repos,stars,2020-11-01,164,wayback
https://github.com/asottile/all-repos,stars,2021-05-22,228,wayback
https://github.com/asottile/all-repos,stars,2021-12-13,309,wayback
https://github.com/asottile/all-repos,stars,2022-01-25,319,wayback
https://github.com/asottile/all-repos,stars,2022-06-02,354,wayback
https://github.com/asottile/all-repos,stars,2022-07-19,368,wayback
https://github.com/asottile/all-repos,stars,2022-12-21,409,wayback
https://github.com/asottile/all-repos,stars,2023-12-17,487,wayback
https://github.com/asottile/all-repos,stars,2024-02-08,497,wayback
https://github.com/asottile/all-repos,stars,2024-05-13,515,wayback
https://github.com/asottile/all-repos,stars,2024-07-22,528,wayback
https://github.com/asottile/all-repos,stars,2024-08-13,530,wayback
https://github.com/asottile/all-repos,stars,2024-09-20,534,wayback
https://github.com/asottile/all-repos,stars,2024-10-07,539,wayback
https://github.com/asottile/all-repos,stars,2024-12-02,544,wayback
https://github.com/asottile/all-repos,stars,2025-01-26,554,wayback
https://github.com/asottile/all-repos,stars,2025-04-16,571,wayback
https://github.com/asottile/all-repos,stars,2025-05-05,573,wayback
https://github.com/asottile/all-repos,stars,2025-06-14,583,wayback
https://github.com/asottile/all-repos,stars,2025-08-25,595,wayback
https://github.com/asottile/all-repos,stars,2025-10-17,601,wayback
https://github.com/asottile/all-repos,stars,2025-12-02,608,wayback
https://github.com/asottile/all-repos,stars,2026-01-21,610,wayback
https://github.com/asottile/all-repos,stars,2026-04-05,620,wayback
https://github.com/asottile/all-repos,stars,2026-07-29,630,wayback
https://github.com/asottile/all-repos,stars,2026-08-16,631,sample
https://github.com/cookiecutter/cookiecutter,commit,2026-08-16,2026-03-04,sample
https://github.com/cookiecutter/cookiecutter,release,2026-08-16,2026-03-04,sample
https://github.com/cookiecutter/cookiecutter,release_source,2026-08-16,release,sample
https://github.com/cookiecutter/cookiecutter,stars,2013-07-14,0,created
https://github.com/cookiecutter/cookiecutter,stars,2019-08-04,9991,wayback
https://github.com/cookiecutter/cookiecutter,stars,2019-09-24,10291,wayback
https://github.com/cookiecutter/cookiecutter,stars,2019-10-02,10336,wayback
https://github.com/cookiecutter/cookiecutter,stars,2020-01-05,10889,wayback
https://github.com/cookiecutter/cookiecutter,stars,2020-02-04,11095,wayback
https://github.com/cookiecutter/cookiecutter,stars,2020-06-12,12148,wayback
https://github.com/cookiecutter/cookiecutter,stars,2020-07-06,12341,wayback
https://github.com/cookiecutter/cookiecutter,stars,2020-09-10,12793,wayback
https://github.com/cookiecutter/cookiecutter,stars,2020-10-14,13008,wayback
https://github.com/cookiecutter/cookiecutter,stars,2020-11-08,13146,wayback
https://github.com/cookiecutter/cookiecutter,stars,2020-12-13,13415,wayback
https://github.com/cookiecutter/cookiecutter,stars,2021-03-13,14028,wayback
https://github.com/cookiecutter/cookiecutter,stars,2021-06-10,14673,wayback
https://github.com/cookiecutter/cookiecutter,stars,2021-08-10,15085,wayback
https://github.com/cookiecutter/cookiecutter,stars,2021-11-02,15584,wayback
https://github.com/cookiecutter/cookiecutter,stars,2021-12-03,15767,wayback
https://github.com/cookiecutter/cookiecutter,stars,2022-02-06,16191,wayback
https://github.com/cookiecutter/cookiecutter,stars,2022-03-06,16370,wayback
https://github.com/cookiecutter/cookiecutter,stars,2022-04-05,16553,wayback
https://github.com/cookiecutter/cookiecutter,stars,2022-05-02,16813,wayback
https://github.com/cookiecutter/cookiecutter,stars,2022-06-02,17255,wayback
https://github.com/cookiecutter/cookiecutter,stars,2022-07-01,17500,wayback
https://github.com/cookiecutter/cookiecutter,stars,2022-08-13,17772,wayback
https://github.com/cookiecutter/cookiecutter,stars,2022-09-01,17895,wayback
https://github.com/cookiecutter/cookiecutter,stars,2022-10-21,18231,wayback
https://github.com/cookiecutter/cookiecutter,stars,2022-11-05,18325,wayback
https://github.com/cookiecutter/cookiecutter,stars,2022-12-11,18550,wayback
https://github.com/cookiecutter/cookiecutter,stars,2023-02-04,18848,wayback
https://github.com/cookiecutter/cookiecutter,stars,2023-03-06,19053,wayback
https://github.com/cookiecutter/cookiecutter,stars,2023-04-16,19338,wayback
https://github.com/cookiecutter/cookiecutter,stars,2023-05-06,19476,wayback
https://github.com/cookiecutter/cookiecutter,stars,2023-06-03,19687,wayback
https://github.com/cookiecutter/cookiecutter,stars,2023-08-09,20053,wayback
https://github.com/cookiecutter/cookiecutter,stars,2023-09-05,20205,wayback
https://github.com/cookiecutter/cookiecutter,stars,2026-08-16,25057,sample
https://github.com/copier-org/copier,commit,2026-08-16,2026-08-14,sample
https://github.com/copier-org/copier,release,2026-08-16,2026-08-04,sample
https://github.com/copier-org/copier,release_source,2026-08-16,release,sample
https://github.com/copier-org/copier,stars,2011-11-01,0,created
https://github.com/copier-org/copier,stars,2026-08-16,3526,sample
https://github.com/cruft/cruft,commit,2026-08-16,2024-12-25,sample
https://github.com/cruft/cruft,release,2026-08-16,2024-12-25,sample
https://github.com/cruft/cruft,release_source,2026-08-16,release,sample
https://github.com/cruft/cruft,stars,2019-09-22,0,created
https://github.com/cruft/cruft,stars,2026-08-16,1583,sample
https://github.com/github/safe-settings,commit,2026-08-16,2026-08-04,sample
https://github.com/github/safe-settings,release,2026-08-16,2026-07-10,sample
https://github.com/github/safe-settings,release_source,2026-08-16,tag,sample
https://github.com/github/safe-settings,stars,2020-09-03,0,created
https://github.com/github/safe-settings,stars,2026-08-16,909,sample
https://github.com/integrations/terraform-provider-github,commit,2026-08-16,2026-08-11,sample
https://github.com/integrations/terraform-provider-github,release,2026-08-16,2026-07-08,sample
https://github.com/integrations/terraform-provider-github,release_source,2026-08-16,release,sample
https://github.com/integrations/terraform-provider-github,stars,2017-06-05,0,created
https://github.com/integrations/terraform-provider-github,stars,2026-08-16,1156,sample
https://github.com/kdeldycke/repomatic,commit,2026-08-16,2026-08-16,sample
https://github.com/kdeldycke/repomatic,release,2026-08-16,2026-08-15,sample
https://github.com/kdeldycke/repomatic,release_source,2026-08-16,release,sample
https://github.com/kdeldycke/repomatic,stars,2021-12-09,0,created
https://github.com/kdeldycke/repomatic,stars,2022-01-05,1,github
https://github.com/kdeldycke/repomatic,stars,2022-03-16,2,github
https://github.com/kdeldycke/repomatic,stars,2022-04-29,3,github
https://github.com/kdeldycke/repomatic,stars,2022-06-01,4,github
https://github.com/kdeldycke/repomatic,stars,2023-06-08,6,github
https://github.com/kdeldycke/repomatic,stars,2023-06-13,8,github
https://github.com/kdeldycke/repomatic,stars,2023-06-16,9,github
https://github.com/kdeldycke/repomatic,stars,2023-10-18,10,github
https://github.com/kdeldycke/repomatic,stars,2023-10-20,11,github
https://github.com/kdeldycke/repomatic,stars,2024-02-07,12,github
https://github.com/kdeldycke/repomatic,stars,2024-02-19,13,github
https://github.com/kdeldycke/repomatic,stars,2024-03-22,14,github
https://github.com/kdeldycke/repomatic,stars,2024-04-07,15,github
https://github.com/kdeldycke/repomatic,stars,2024-08-09,16,github
https://github.com/kdeldycke/repomatic,stars,2024-08-28,17,github
https://github.com/kdeldycke/repomatic,stars,2024-09-09,18,github
https://github.com/kdeldycke/repomatic,stars,2024-10-13,19,github
https://github.com/kdeldycke/repomatic,stars,2025-01-22,20,github
https://github.com/kdeldycke/repomatic,stars,2025-02-04,21,github
https://github.com/kdeldycke/repomatic,stars,2025-02-14,22,github
https://github.com/kdeldycke/repomatic,stars,2025-03-11,23,github
https://github.com/kdeldycke/repomatic,stars,2025-05-03,24,github
https://github.com/kdeldycke/repomatic,stars,2025-06-05,25,github
https://github.com/kdeldycke/repomatic,stars,2025-06-06,26,github
https://github.com/kdeldycke/repomatic,stars,2025-06-20,27,github
https://github.com/kdeldycke/repomatic,stars,2025-07-26,28,github
https://github.com/kdeldycke/repomatic,stars,2025-07-28,29,github
https://github.com/kdeldycke/repomatic,stars,2025-11-23,30,github
https://github.com/kdeldycke/repomatic,stars,2026-01-07,31,github
https://github.com/kdeldycke/repomatic,stars,2026-01-20,32,github
https://github.com/kdeldycke/repomatic,stars,2026-01-30,33,github
https://github.com/kdeldycke/repomatic,stars,2026-02-04,34,github
https://github.com/kdeldycke/repomatic,stars,2026-02-05,35,github
https://github.com/kdeldycke/repomatic,stars,2026-02-24,36,github
https://github.com/kdeldycke/repomatic,stars,2026-03-30,37,github
https://github.com/kdeldycke/repomatic,stars,2026-04-07,38,github
https://github.com/kdeldycke/repomatic,stars,2026-04-09,42,github
https://github.com/kdeldycke/repomatic,stars,2026-04-14,44,github
https://github.com/kdeldycke/repomatic,stars,2026-04-15,45,github
https://github.com/kdeldycke/repomatic,stars,2026-04-18,46,github
https://github.com/kdeldycke/repomatic,stars,2026-04-23,47,github
https://github.com/kdeldycke/repomatic,stars,2026-04-30,48,github
https://github.com/kdeldycke/repomatic,stars,2026-05-18,49,github
https://github.com/kdeldycke/repomatic,stars,2026-05-24,50,github
https://github.com/kdeldycke/repomatic,stars,2026-05-29,51,github
https://github.com/kdeldycke/repomatic,stars,2026-06-03,52,github
https://github.com/kdeldycke/repomatic,stars,2026-06-16,53,github
https://github.com/kdeldycke/repomatic,stars,2026-07-08,54,github
https://github.com/kdeldycke/repomatic,stars,2026-07-18,55,github
https://github.com/kdeldycke/repomatic,stars,2026-07-25,57,github
https://github.com/kdeldycke/repomatic,stars,2026-08-16,57,sample
https://github.com/ossf/allstar,commit,2026-08-16,2026-08-16,sample
https://github.com/ossf/allstar,release,2026-08-16,2025-10-01,sample
https://github.com/ossf/allstar,release_source,2026-08-16,release,sample
https://github.com/ossf/allstar,stars,2021-05-25,0,created
https://github.com/ossf/allstar,stars,2021-09-02,598,wayback
https://github.com/ossf/allstar,stars,2021-11-08,736,wayback
https://github.com/ossf/allstar,stars,2022-01-20,778,wayback
https://github.com/ossf/allstar,stars,2022-04-09,838,wayback
https://github.com/ossf/allstar,stars,2022-06-05,890,wayback
https://github.com/ossf/allstar,stars,2022-08-18,939,wayback
https://github.com/ossf/allstar,stars,2022-12-03,1002,wayback
https://github.com/ossf/allstar,stars,2023-01-30,1017,wayback
https://github.com/ossf/allstar,stars,2023-02-26,1032,wayback
https://github.com/ossf/allstar,stars,2023-07-09,1088,wayback
https://github.com/ossf/allstar,stars,2023-08-08,1090,wayback
https://github.com/ossf/allstar,stars,2023-10-30,1139,wayback
https://github.com/ossf/allstar,stars,2023-12-09,1152,wayback
https://github.com/ossf/allstar,stars,2024-01-27,1157,wayback
https://github.com/ossf/allstar,stars,2024-02-03,1160,wayback
https://github.com/ossf/allstar,stars,2024-03-24,1179,wayback
https://github.com/ossf/allstar,stars,2024-08-22,1236,wayback
https://github.com/ossf/allstar,stars,2024-09-12,1240,wayback
https://github.com/ossf/allstar,stars,2024-12-09,1259,wayback
https://github.com/ossf/allstar,stars,2025-03-02,1285,wayback
https://github.com/ossf/allstar,stars,2025-04-02,1293,wayback
https://github.com/ossf/allstar,stars,2025-05-08,1302,wayback
https://github.com/ossf/allstar,stars,2025-07-02,1340,wayback
